Country;ISO2;Indicator;Unit;F1961;F1962;F1963;F1964;F1965;F1966;F1967;F1968;F1969;F1970;F1971;F1972;F1973;F1974;F1975;F1976;F1977;F1978;F1979;F1980;F1981;F1982;F1983;F1984;F1985;F1986;F1987;F1988;F1989;F1990;F1991;F1992;F1993;F1994;F1995;F1996;F1997;F1998;F1999;F2000;F2001;F2002;F2003;F2004;F2005;F2006;F2007;F2008;F2009;F2010;F2011;F2012;F2013;F2014;F2015;F2016;F2017;F2018;F2019;F2020;F2021;F2022
India;IN;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;10.0;6.0;6.0;10.0;9.0;9.0;10.0;10.0;8.0;7.0;12.0;9.0;8.0;9.0;5.0;9.0;12.0;9.0;14.0;7.0;13.0;17.0;13.0;16.0;6.0;25.0;20.0;20.0;11.0;17.0;17.0;12.0;9.0;11.0;16.0;19.0;15.0;18.0;23.0;12.0;11.0;16.0;7.0
Indonesia;ID;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;3.0;4.0;7.0;4.0;4.0;4.0;5.0;6.0;3.0;3.0;2.0;4.0;2.0;2.0;7.0;5.0;6.0;2.0;2.0;4.0;8.0;8.0;9.0;13.0;7.0;6.0;12.0;10.0;13.0;7.0;8.0;8.0;11.0;12.0;8.0;11.0;12.0;10.0;8.0;14.0;26.0;21.0;13.0
Iran, Islamic Rep. of;IR;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;2.0;2.0;;;;;2.0;6.0;1.0;1.0;2.0;5.0;3.0;4.0;3.0;3.0;4.0;2.0;4.0;5.0;4.0;4.0;4.0;2.0;3.0;5.0;1.0;2.0;3.0;;;;1.0;;1.0;5.0;1.0;2.0;1.0;3.0;7.0;4.0;3.0
Iraq;IQ;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;2.0;;1.0;1.0;;1.0;1.0;1.0;;1.0;;;1.0;1.0;1.0;3.0;1.0
Ireland;IE;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;1.0;;;3.0;1.0;;1.0;;;1.0;;1.0;1.0;1.0;;1.0;;1.0;1.0;;;;1.0;;1.0;;;1.0;1.0;;1.0;1.0;;1.0;;1.0
Isle of Man;IM;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;
Israel;IL;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;1.0;;;1.0;;1.0;1.0;1.0;2.0;;;;;;;;;;2.0;;;1.0;;1.0;1.0;;1.0;;2.0;;
Italy;IT;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;1.0;2.0;;1.0;1.0;6.0;;;3.0;;2.0;1.0;3.0;;3.0;2.0;2.0;2.0;4.0;3.0;4.0;3.0;1.0;1.0;2.0;2.0;3.0;4.0;3.0;4.0;3.0;1.0;5.0;4.0;1.0;4.0;4.0;5.0;7.0;2.0;3.0
Jamaica;JM;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;1.0;1.0;1.0;2.0;;;1.0;;1.0;1.0;;1.0;;;;1.0;1.0;3.0;;2.0;3.0;1.0;2.0;2.0;;1.0;;1.0;;1.0;;1.0;1.0;;;;;
Japan;JP;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;2.0;5.0;5.0;4.0;1.0;2.0;5.0;1.0;1.0;4.0;3.0;5.0;2.0;6.0;3.0;2.0;2.0;3.0;7.0;3.0;4.0;5.0;6.0;3.0;11.0;4.0;5.0;5.0;2.0;5.0;2.0;5.0;7.0;9.0;11.0;10.0;7.0;4.0;5.0;9.0;4.0;4.0;6.0
Jordan;JO;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;2.0;1.0;;;;;1.0;;1.0;3.0;;1.0;;;;;;;;;;;;;;;;2.0;;;;
Kazakhstan, Rep. of;KZ;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;2.0;;;1.0;2.0;;;1.0;1.0;;;1.0;;2.0;1.0;2.0;;1.0;1.0;;1.0;1.0;;1.0;1.0;
Kenya;KE;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;1.0;;1.0;1.0;;;1.0;;2.0;1.0;1.0;1.0;;1.0;5.0;2.0;3.0;4.0;4.0;4.0;8.0;2.0;4.0;4.0;1.0;4.0;1.0;3.0;3.0;1.0;3.0;3.0;2.0;1.0;
Kiribati;KI;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;1.0;;;;;;1.0;1.0;;;;;;;
Korea, Dem. People's Rep. of;KP;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;1.0;;2.0;1.0;2.0;1.0;1.0;1.0;2.0;2.0;;2.0;1.0;2.0;2.0;;;3.0;3.0;3.0;1.0;;2.0;2.0;1.0;3.0;2.0;1.0;1.0;
Korea, Rep. of;KR;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;2.0;2.0;2.0;;2.0;1.0;1.0;3.0;1.0;1.0;3.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;4.0;2.0;5.0;4.0;4.0;1.0;7.0;5.0;1.0;2.0;1.0;;1.0;3.0;3.0;;3.0;;2.0;;1.0;4.0;5.0;1.0;4.0
Kuwait;KW;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;1.0;;;;
Kyrgyz Rep.;KG;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;1.0;;1.0;;1.0;1.0;3.0;1.0;1.0;1.0;;1.0;1.0;;2.0;;1.0;;;1.0;;;;1.0;1.0
Lao People's Dem. Rep.;LA;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;1.0;1.0;;;3.0;2.0;1.0;1.0;3.0;1.0;;;1.0;1.0;1.0;1.0;;;;;;1.0;2.0;;2.0;;2.0;1.0;2.0;1.0;1.0;3.0;2.0;2.0;1.0;1.0
Latvia;LV;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;1.0;;3.0;;;;;;;1.0;;;;;;1.0;;;;
Lebanon;LB;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;;;;;;;;;1.0;1.0;;;;1.0;;;;;;;;3.0;;;1.0;1.0;1.0;;
Lesotho, Kingdom of;LS;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;1.0;;1.0;2.0;;;;;;1.0;;;;;2.0;1.0;;;;;1.0;1.0;;;3.0;;;1.0;;1.0;;;1.0;1.0;1.0;
Liberia;LR;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;;1.0;;;1.0;;;;;;;;;2.0;1.0;1.0;1.0;;;;;;1.0;;;;;;
Libya;LY;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;
Lithuania;LT;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;2.0;;1.0;;;;2.0;1.0;;;;2.0;;2.0;;;;;;2.0;;;;
Luxembourg;LU;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;6.0;;;1.0;;1.0;;;;;;;;1.0;;;;;;;1.0;;;;;;;;;1.0;;1.0;
Madagascar, Rep. of;MG;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;2.0;1.0;1.0;1.0;;2.0;;1.0;1.0;;1.0;;;3.0;;1.0;2.0;1.0;;3.0;;4.0;4.0;2.0;4.0;2.0;4.0;4.0;3.0;1.0;1.0;3.0;2.0;2.0;3.0;1.0;2.0;2.0;3.0;3.0;2.0;7.0
Malawi;MW;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;1.0;1.0;1.0;1.0;;;2.0;;1.0;1.0;1.0;1.0;2.0;3.0;2.0;;3.0;2.0;5.0;1.0;;1.0;3.0;4.0;1.0;;3.0;1.0;1.0;3.0;3.0;1.0;1.0;4.0
Malaysia;MY;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;1.0;1.0;;;;;1.0;;2.0;3.0;2.0;3.0;1.0;2.0;4.0;2.0;3.0;5.0;3.0;4.0;2.0;2.0;2.0;;2.0;;1.0;2.0;1.0;4.0;4.0;2.0;4.0;5.0;8.0;6.0
Maldives;MV;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;1.0;;1.0;
Mali;ML;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;1.0;;1.0;;;;;;;2.0;1.0;1.0;2.0;1.0;1.0;;3.0;2.0;2.0;1.0;1.0;3.0;2.0;;2.0;;1.0;1.0;;1.0;2.0;1.0;;2.0
Marshall Islands, Rep. of the;MH;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;1.0;1.0;1.0;;;1.0;;;;1.0
Mauritania, Islamic Rep. of;MR;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;1.0;;;;;;1.0;;1.0;;1.0;;1.0;;3.0;;2.0;1.0;1.0;;1.0;2.0;2.0;;1.0;2.0;1.0;;1.0;;;;2.0;1.0;1.0;3.0;;1.0
Mauritius;MU;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;2.0;1.0;;;;;;1.0;;1.0;;;1.0;;1.0;;;2.0;;;1.0;;;;;1.0;;;;;;1.0;;;;;1.0;;;;1.0
Mexico;MX;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;2.0;1.0;3.0;3.0;2.0;;1.0;2.0;5.0;2.0;3.0;3.0;3.0;7.0;;7.0;6.0;6.0;9.0;7.0;6.0;6.0;7.0;8.0;3.0;7.0;7.0;7.0;3.0;7.0;8.0;11.0;2.0;5.0;6.0;4.0;7.0;5.0;3.0;6.0;7.0;10.0;5.0
Micronesia, Federated States of;FM;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;1.0;;;;2.0;1.0;1.0;;;;1.0;;;;;;;1.0;1.0;;;1.0;;;
Moldova, Rep. of;MD;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;1.0;;1.0;2.0;;1.0;;;2.0;;1.0;1.0;;1.0;;2.0;;;;;;;1.0;;;
Mongolia;MN;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;2.0;1.0;;1.0;1.0;;2.0;;;;3.0;1.0;2.0;1.0;;;;;1.0;2.0;;;;;;1.0;1.0;1.0;3.0;3.0;4.0;2.0;2.0
Montenegro;ME;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;2.0;;1.0;;;;;1.0;;;;;
Montserrat;MS;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Morocco;MA;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;;;;;;;;;;;3.0;2.0;1.0;;1.0;3.0;1.0;1.0;1.0;;1.0;3.0;;2.0;2.0;2.0;;1.0;;3.0;;1.0;2.0;1.0;3.0;;2.0;
Mozambique, Rep. of;MZ;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;2.0;;;1.0;2.0;;1.0;1.0;1.0;1.0;;;;1.0;;1.0;2.0;2.0;1.0;5.0;4.0;2.0;5.0;;3.0;;6.0;4.0;2.0;2.0;3.0;3.0;1.0;2.0;1.0;4.0;1.0;2.0;5.0;3.0;3.0;4.0
Myanmar;MM;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;1.0;1.0;;1.0;1.0;;1.0;;1.0;;1.0;1.0;;1.0;1.0;2.0;4.0;1.0;1.0;2.0;1.0;1.0;2.0;2.0;6.0;5.0;2.0;4.0;3.0;2.0;1.0;
Namibia;;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;1.0;;;;;1.0;;;1.0;;1.0;1.0;1.0;1.0;2.0;;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;;1.0;;1.0;1.0;;1.0;1.0;
Nepal;NP;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;2.0;1.0;2.0;1.0;1.0;2.0;1.0;3.0;1.0;1.0;2.0;1.0;2.0;;3.0;3.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;3.0;4.0;1.0;2.0;5.0;2.0;6.0;3.0;2.0;6.0;2.0;3.0;3.0;2.0;2.0;1.0;4.0;4.0
Netherlands Antilles;AN;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Netherlands, The;NL;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;;;;6.0;;1.0;1.0;1.0;1.0;;1.0;2.0;;;;1.0;1.0;;3.0;1.0;1.0;1.0;;1.0;;1.0;3.0;;;1.0;;2.0;1.0;1.0;2.0;1.0
New Caledonia;NC;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;1.0;
New Zealand;NZ;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;2.0;1.0;;1.0;1.0;2.0;3.0;2.0;4.0;1.0;;1.0;3.0;;1.0;;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;;;;;1.0;2.0;;2.0;1.0;2.0;1.0;;3.0;4.0;1.0
Nicaragua;NI;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;1.0;;1.0;1.0;;1.0;1.0;1.0;2.0;1.0;1.0;2.0;4.0;2.0;3.0;;2.0;2.0;;2.0;3.0;3.0;4.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;2.0;;2.0;;2.0
Niger;NE;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;2.0;;1.0;;;;1.0;;;1.0;1.0;2.0;1.0;2.0;1.0;1.0;;1.0;1.0;1.0;1.0;2.0;2.0;3.0;1.0;2.0;1.0;2.0;2.0;3.0;1.0;2.0;3.0;1.0;2.0
Nigeria;NG;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;2.0;;;;1.0;;1.0;;;;2.0;4.0;9.0;3.0;2.0;1.0;5.0;2.0;3.0;3.0;;2.0;1.0;5.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0
North Macedonia, Republic of ;MK;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;1.0;1.0;1.0;2.0;2.0;2.0;1.0;2.0;;;;;1.0;1.0;1.0;2.0;1.0;1.0;;;;1.0;
Northern Mariana Islands;MP;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;1.0;;;1.0;;;;
Norway;NO;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;1.0;1.0;;1.0;;;;;1.0;1.0;;;;1.0;;;1.0;;;1.0;;;;;;;;1.0;1.0;;1.0
Oman;OM;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;1.0;;;1.0;1.0;;;;1.0;1.0;1.0;2.0;1.0;1.0;2.0;
Pakistan;PK;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;2.0;2.0;1.0;3.0;1.0;;1.0;;2.0;1.0;1.0;3.0;3.0;4.0;3.0;3.0;3.0;5.0;3.0;6.0;1.0;5.0;6.0;6.0;2.0;8.0;9.0;10.0;3.0;3.0;7.0;1.0;5.0;2.0;3.0;7.0;8.0;5.0;2.0;10.0;6.0;6.0;4.0
Palau, Rep. of;PW;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;1.0;;;;;;1.0;
Panama;PA;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;1.0;;1.0;;;1.0;1.0;;;1.0;;;1.0;2.0;1.0;1.0;2.0;1.0;3.0;1.0;3.0;1.0;2.0;1.0;4.0;2.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;;3.0;2.0;1.0
Papua New Guinea;PG;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;2.0;;;;;;;;1.0;1.0;2.0;;;1.0;3.0;;1.0;;;1.0;2.0;1.0;1.0;4.0;1.0;2.0;1.0;;1.0;2.0;1.0;2.0;3.0;1.0;;;2.0;5.0;;
Paraguay;PY;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;1.0;2.0;;;;;1.0;;1.0;;1.0;;;2.0;;2.0;1.0;1.0;1.0;;2.0;;1.0;1.0;;1.0;2.0;3.0;1.0;1.0;3.0;3.0;2.0;3.0;1.0;;2.0;4.0;;2.0;
Peru;PE;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;2.0;3.0;4.0;1.0;2.0;2.0;4.0;2.0;1.0;5.0;1.0;2.0;1.0;2.0;1.0;;3.0;2.0;3.0;2.0;4.0;5.0;3.0;4.0;;2.0;2.0;1.0;6.0;3.0;5.0;3.0;3.0;4.0;3.0;1.0;3.0;;5.0;4.0;8.0;2.0
Philippines;PH;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;8.0;12.0;13.0;6.0;4.0;5.0;7.0;6.0;8.0;12.0;9.0;9.0;7.0;10.0;17.0;13.0;5.0;4.0;6.0;16.0;10.0;9.0;11.0;10.0;12.0;4.0;19.0;14.0;20.0;23.0;13.0;30.0;18.0;13.0;12.0;16.0;10.0;11.0;8.0;9.0;7.0;13.0;9.0
Poland, Rep. of;PL;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;1.0;2.0;;;;1.0;;;1.0;;1.0;;1.0;;;2.0;2.0;2.0;1.0;2.0;3.0;;1.0;4.0;1.0;2.0;2.0;3.0;3.0;1.0;4.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;3.0;3.0
Portugal;PT;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;;3.0;;1.0;1.0;;;1.0;;1.0;;;;;2.0;2.0;;;1.0;2.0;1.0;3.0;2.0;2.0;2.0;;2.0;;3.0;;;3.0;2.0;1.0;1.0;2.0;3.0;1.0;;;3.0
Qatar;QA;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;
Romania;RO;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;1.0;;1.0;3.0;1.0;1.0;2.0;3.0;3.0;5.0;3.0;4.0;2.0;6.0;9.0;7.0;6.0;3.0;3.0;2.0;;1.0;1.0;3.0;1.0;2.0;1.0;3.0;1.0;1.0;1.0;
Russian Federation;RU;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;6.0;8.0;6.0;4.0;3.0;8.0;5.0;19.0;10.0;11.0;4.0;7.0;9.0;3.0;2.0;;;8.0;3.0;8.0;2.0;1.0;2.0;3.0;2.0;2.0;5.0;;5.0;3.0
Rwanda;RW;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;1.0;;;;;;;1.0;;;1.0;;2.0;1.0;2.0;;;1.0;2.0;1.0;;2.0;1.0;1.0;;;1.0;2.0;2.0;4.0;2.0;5.0;1.0;3.0
Saint Barthélemy;;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;
Saint Helena;SH;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;
Saint Martin (French Part);;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;
Samoa;WS;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;1.0;1.0;1.0;;;;;;;;;;1.0;;;1.0;1.0;;;;;;;1.0;;;1.0;;;1.0;;;;
São Tomé and Príncipe, Dem. Rep. of;ST;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;
Saudi Arabia;SA;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;;;;;;;;;;;;1.0;2.0;1.0;2.0;;;;1.0;2.0;1.0;1.0;2.0;;2.0;3.0;1.0;;3.0;1.0;;
Senegal;SN;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;1.0;;;1.0;;;;;1.0;1.0;;;;1.0;2.0;1.0;;2.0;1.0;1.0;1.0;;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;;1.0;;1.0;1.0;1.0;;1.0
Serbia and Montenegro;CS;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;2.0;4.0;;1.0;;;3.0;2.0;;;;;;;;;;;;;;;;
Serbia, Rep. of;RS;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;2.0;5.0;;3.0;2.0;5.0;;2.0;1.0;1.0;1.0;1.0;1.0;
Seychelles;SC;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;;;;;;;;;;1.0;1.0;;;;;;;;
Sierra Leone;SL;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;1.0;;;1.0;;;;;1.0;1.0;;1.0;;1.0;2.0;1.0;;1.0;;1.0;;1.0;;2.0;;;1.0
Sint Maarten, Kingdom of the Netherlands;SX;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;
Slovak Rep.;SK;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;;;3.0;;1.0;1.0;;;;1.0;;1.0;1.0;1.0;
Slovenia, Rep. of;SI;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;2.0;;;;;1.0;;2.0;;;;;;1.0;1.0;
Solomon Islands;SB;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;1.0;;;;;;1.0;1.0;;;;1.0;1.0;;;;1.0;2.0;;;;;;1.0;2.0;1.0;1.0;1.0;1.0;3.0;;;1.0;;1.0;;
Somalia;SO;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;1.0;;1.0;;;;2.0;1.0;2.0;;;;;2.0;1.0;1.0;2.0;;1.0;3.0;1.0;1.0;2.0;2.0;3.0;5.0;2.0;2.0;1.0;3.0;2.0;2.0;3.0;2.0;5.0;1.0;;2.0;3.0;4.0;1.0;1.0
South Africa;ZA;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;2.0;;1.0;2.0;;1.0;1.0;2.0;;2.0;1.0;;2.0;2.0;2.0;4.0;1.0;2.0;5.0;5.0;6.0;6.0;2.0;2.0;;2.0;3.0;3.0;4.0;1.0;3.0;2.0;1.0;1.0;1.0;3.0;5.0;;6.0;2.0;4.0;8.0
